customer_id,delivery_rating,food_rating,helpful_count,order_id,rating,restaurant_id,review_date,review_id,review_text
CUST-09239,1,2,8,ORD-00030738,2,REST-16212,2026-02-02T18:36:04.759Z,REV-015001,Not happy with this order. Several issues.
CUST-07134,4,4,6,ORD-00007661,4,REST-09825,2025-12-20T10:19:04.759Z,REV-015002,"Great flavors, good portion sizes. Would order again."
CUST-08124,6,6,20,ORD-00047496,5,REST-22325,2025-12-21T07:32:04.759Z,REV-015003,Absolutely amazing! Best Fast Food food in Toronto!
CUST-02234,4,4,18,ORD-00024501,5,REST-01725,2025-12-11T13:47:04.759Z,REV-015004,Outstanding service and delicious food. Highly recommend!
CUST-08457,6,4,9,ORD-00028379,5,REST-11117,2026-01-08T14:13:04.759Z,REV-015005,Absolutely amazing! Best Restaurant food in Toronto!
CUST-08144,1,1,7,ORD-00026395,2,REST-18478,2026-01-03T20:04:04.759Z,REV-015006,Food arrived cold and the quality wasn't great.
CUST-01584,5,5,2,ORD-00020844,4,REST-04626,2026-01-13T16:32:04.759Z,REV-015007,Solid choice for Fast Food. Delivery was quick too.
CUST-09436,5,6,3,ORD-00041017,5,REST-18425,2025-12-02T18:45:04.759Z,REV-015008,Outstanding service and delicious food. Highly recommend!
CUST-01862,5,5,7,ORD-00025080,5,REST-12614,2025-12-23T18:28:04.759Z,REV-015009,Five stars all the way! Will definitely order again.
CUST-00866,1,3,1,ORD-00017450,2,REST-19600,2026-01-23T10:34:04.759Z,REV-015010,Not happy with this order. Several issues.
CUST-03976,4,6,19,ORD-00017873,5,REST-09983,2026-01-02T23:39:04.759Z,REV-015011,Five stars all the way! Will definitely order again.
CUST-09955,4,4,2,ORD-00035641,4,REST-11468,2026-02-01T05:32:04.759Z,REV-015012,Really good Restaurant food. Enjoyed the food.
CUST-07284,5,5,46,ORD-00004496,5,REST-15218,2026-02-14T01:46:04.759Z,REV-015013,Outstanding service and delicious food. Highly recommend!
CUST-03264,4,4,10,ORD-00012417,3,REST-15649,2026-01-28T05:40:04.759Z,REV-015014,Not bad but I've had better Restaurant elsewhere.
CUST-08766,6,5,36,ORD-00032856,5,REST-03142,2026-01-13T20:44:04.759Z,REV-015015,Outstanding service and delicious food. Highly recommend!
CUST-00830,3,2,2,ORD-00001293,2,REST-15862,2025-12-06T18:23:04.759Z,REV-015016,Not happy with this order. Several issues.
CUST-03811,4,4,17,ORD-00026435,5,REST-07175,2026-02-09T04:50:04.759Z,REV-015017,This place never disappoints. Always fresh and tasty.
CUST-08169,4,4,39,ORD-00044220,5,REST-16459,2026-01-27T08:55:04.759Z,REV-015018,This place never disappoints. Always fresh and tasty.
CUST-08135,6,6,11,ORD-00036668,5,REST-11143,2025-12-15T23:11:04.759Z,REV-015019,Absolutely amazing! Best Restaurant food in Toronto!
CUST-06548,1,2,2,ORD-00012393,2,REST-16846,2026-01-06T00:39:04.759Z,REV-015020,Disappointed with the dish. Not worth the price.
CUST-01926,5,5,6,ORD-00013297,4,REST-06633,2025-12-06T04:57:04.759Z,REV-015021,Really good Restaurant food. Enjoyed the food.
CUST-03808,4,4,14,ORD-00033816,5,REST-07792,2025-12-20T11:11:04.759Z,REV-015022,Five stars all the way! Will definitely order again.
CUST-09953,5,4,38,ORD-00022722,5,REST-07124,2025-12-21T20:34:04.759Z,REV-015023,Absolutely amazing! Best Fast Food food in Toronto!
CUST-02897,5,5,2,ORD-00008689,4,REST-08898,2025-11-29T16:46:04.759Z,REV-015024,Solid choice for Restaurant. Delivery was quick too.
CUST-06196,4,3,0,ORD-00031010,3,REST-11460,2025-12-31T04:33:04.759Z,REV-015025,Mediocre. Delivery took longer than expected.
